sku,name,category,function,relatives,designer,image,gridorder,neworder
BBL3070,Swing Table Lamp,Table > Decorative,Decorative,bbswing,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3070bzs_5.png,852.0000,,
BBL3110,Framework Desk Lamp,Table > Decorative,Decorative,framework,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3110bzs_5.png,855.0000,,
BBL5080,Go Lightly Small Chandelier,Ceiling > Chandelier,Chandelier,go lightly,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5080gs_9.png,1562.0000,,
BBL5081,Go Lightly Medium Chandelier,Ceiling > Chandelier,Chandelier,go lightly,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5081gs_5.png,1563.0000,,
ARN2018,Drunmore Single Sconce,Wall > Bath,Bath,drunmore,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2018pncgwg_5.png,5115.0000,,
ARN2148,Eva Wall Sconce,Wall > Decorative,Decorative,Eva,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2148pncg_6.png,3580.0000,,
ARN3026,Olsen Table Lamp,Table > Decorative,Decorative,Olsen,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3026albl_6.png,489.0000,,
ARN3036,Yvette Table Lamp,Table > Decorative,Decorative,Yvette,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3036albl_5.png,487.0000,,
ARN3070,Lilian Table Lamp,Table > Decorative,Decorative,Lilian,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3070pwl_5.png,544.0000,,
ARN3622,Michelena Table Lamp,Table > Decorative,Decorative,Michelena,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3622shgl_9.png,382.0000,,
ARN3623,Babette Table Lamp,Table > Decorative,Decorative,Babette,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3623shgl_6.png,384.0000,,
ARN4120,Lynn Flush Mount,Ceiling > Flush Mount,Flush Mount,Lynn,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4120bsl_9.png,3030.0000,,
ARN5009,Sommerard Large Triple Arm Chandelier,Ceiling > Chandelier,Chandelier,Sommerard,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5009habblk_5.png,1592.0000,,
ARN5052,Montreuil Chandelier,Ceiling > Chandelier,Chandelier,Montreuil,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5052gl_5.png,1524.0000,,
ARN5351,Agnes Medium Pendant,Ceiling > Pendant,Pendant,Agnes,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5351mbk_5.png,2459.0000,,
ARN5352,Agnes Large Pendant,Ceiling > Pendant,Pendant,Agnes,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5352pw_10.png,2462.0000,,
KW1060,Precision Floor Lamp,Floor > Decorative,Decorative,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw1060bz_9.png,1117.0000,,
KW1088,Cleo Floor Lamp,Floor > Task,Functional,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw1088bzab_5.png,1158.0000,,
